season,zone,pct,for_p96,for_pSzn,against_p96,against_pSzn,net_p96,net_pSzn,trans_net_p96,trans_net_pSzn
2021,1,0.01,0.0026403976693417544,0.09349199999999999,0.0027546750856338137,0.09673000000000001,-0.01437569986823407,-0.506422,-0.020052841443568274,-0.31572
2021,1,0.02,0.0027805010479242387,0.098484,0.0030241430706759113,0.10596,-0.013096321264451555,-0.462144,-0.019848250051315658,-0.29934
2021,1,0.03,0.002920604426506722,0.10347600000000001,0.0032936110557180097,0.11518999999999999,-0.011816942660669044,-0.417866,-0.019643658659063038,-0.28296
2021,1,0.04,0.0030559419284529733,0.10822,0.0035308604282633118,0.12336799999999999,-0.010622015279544062,-0.37631200000000004,-0.018843300098362197,-0.26557600000000003
2021,1,0.05,0.003165067108899945,0.1116,0.0035909074320762385,0.12576,-0.009891569623035498,-0.34974,-0.014766222111196117,-0.24267
2021,1,0.060000000000000005,0.0032741922893469166,0.11498000000000001,0.003650954435889165,0.12815200000000002,-0.009161123966526932,-0.32316799999999996,-0.010689144124030037,-0.21976400000000001
2021,1,0.06999999999999999,0.003383317469793888,0.11836,0.0037110014397020914,0.13054400000000005,-0.008430678310018369,-0.29659599999999997,-0.006612066136863966,-0.19685800000000006
2021,1,0.08,0.0036040639633921063,0.12578,0.0037533518802681095,0.13224000000000002,-0.00787907816886526,-0.27675999999999995,-0.003635048984617301,-0.17787200000000003
2021,1,0.09,0.004075958411580629,0.14228999999999997,0.003755885053528583,0.13237000000000004,-0.007729880437261926,-0.27208,-0.003133168710939325,-0.16770600000000005
2021,1,0.09999999999999999,0.004547852859769153,0.1588,0.0037584182267890575,0.13250000000000003,-0.007580682705658592,-0.26739999999999997,-0.0026312884372613485,-0.15754000000000004
2021,1,0.11,0.005019747307957676,0.17530999999999997,0.0037609514000495315,0.13263,-0.007431484974055258,-0.26271999999999995,-0.002129408163583373,-0.14737400000000003
2021,1,0.12,0.005294213951272841,0.185076,0.003828793701601245,0.13498000000000002,-0.007233800453647009,-0.25566399999999995,-0.0017713353054968136,-0.116316
2021,1,0.13,0.005338348155569088,0.18697399999999997,0.003972829986159405,0.13992000000000002,-0.006979548012966363,-0.24583599999999997,-0.0015810377656002416,-0.06088400000000002
2021,1,0.14,0.0053824823598653355,0.18887199999999998,0.004116866270717565,0.14486000000000002,-0.006725295572285715,-0.23600799999999994,-0.0013907402257036685,-0.005451999999999867
2021,1,0.15000000000000002,0.0054266165641615825,0.19077,0.004260902555275724,0.14980000000000002,-0.006471043131605069,-0.2261799999999999,-0.0012004426858070961,0.049980000000000094
2021,1,0.16,0.005445447517356333,0.19158,0.004399847888177414,0.154596,-0.005879366863544508,-0.20526399999999992,-0.0005640373810757845,0.07398800000000003
2021,1,0.17,0.00544846393861265,0.19171,0.0045356113762938105,0.159302,-0.005076800703371503,-0.17741799999999994,0.00035118527667723826,0.078356
2021,1,0.18000000000000002,0.005451480359868966,0.19184,0.0046713748644102064,0.16400800000000004,-0.004274234543198492,-0.1495719999999998,0.0012664079344302673,0.082724
2021,1,0.19,0.005454496781125283,0.19197,0.0048071383525266015,0.168714,-0.0034716683830254896,-0.12172599999999992,0.002181630592183287,0.08709199999999997
2021,1,0.2,0.005639416369593928,0.19846,0.005032474562008206,0.17656000000000002,-0.0031444164072747904,-0.11021999999999996,0.0032535524684950516,0.11139999999999999
2021,1,0.21000000000000002,0.005878906908226272,0.20685800000000004,0.005284682587899374,0.185348,-0.002959758686850781,-0.10361599999999994,0.004372484110374442,0.1416900000000001
2021,1,0.22,0.0061183974468586155,0.215256,0.00553689061379054,0.19413599999999998,-0.002775100966426773,-0.09701199999999999,0.005491415752253824,0.17197999999999997
2021,1,0.23,0.006357887985490959,0.22365400000000002,0.005789098639681707,0.20292400000000002,-0.002590443246002764,-0.09040799999999996,0.006610347394133214,0.2022700000000001
2021,1,0.24000000000000002,0.006520213232806349,0.22967600000000002,0.005929195223287459,0.20830400000000004,-0.0024123282263246964,-0.08430799999999997,0.006958329241659964,0.22946400000000017
2021,1,0.25,0.00667610803917866,0.2355,0.006059949186702759,0.21339999999999998,-0.0022347584317087927,-0.07825000000000001,0.00724206527299066,0.2564
2021,1,0.26,0.006832002845550971,0.24132399999999998,0.006190703150118061,0.218496,-0.002057188637092888,-0.07219200000000003,0.007525801304321358,0.28333600000000003
2021,1,0.27,0.0069844855393137424,0.246934,0.006330826306434411,0.223884,-0.0018926874297107408,-0.06658000000000006,0.007798662827638171,0.31001400000000007
2021,1,0.28,0.007096022881762031,0.249976,0.006583379777563354,0.23277600000000004,-0.001885009269133685,-0.06632000000000005,0.007941030254788354,0.3335960000000001
2021,1,0.29000000000000004,0.0072075602242103205,0.253018,0.0068359332486922966,0.24166800000000005,-0.0018773311085566288,-0.06606000000000005,0.008083397681938536,0.3571780000000001
2021,1,0.3,0.007319097566658609,0.25606,0.007088486719821239,0.25056,-0.0018696529479795727,-0.06580000000000005,0.008225765109088718,0.38076000000000004
2021,1,0.31,0.007461909802914214,0.26049400000000006,0.0073445602348632885,0.25947000000000003,-0.0018510848267427246,-0.06514400000000005,0.008408107900915295,0.40004000000000006
2021,1,0.32,0.007708971685194207,0.26956800000000003,0.0076123672296156885,0.26844,-0.0017962168366399028,-0.06316800000000004,0.008723701908329851,0.40498
2021,1,0.33,0.0079560335674742,0.278642,0.00788017422436809,0.27741,-0.001741348846537081,-0.061192000000000045,0.009039295915744407,0.40992000000000006
