team_id,minutes,zone,season_name,data.action_type,data.num_actions_for,data.goals_added_for,data.num_actions_against,data.goals_added_against
kRQand1MKZ,3369,1,2021,Fouling,3,0.0097,12,0.0288
kRQand1MKZ,3369,1,2021,Interrupting,104,0.3666,142,0.5132
kRQand1MKZ,3369,1,2021,Passing,132,0.2748,194,0.3214
kRQand1MKZ,3369,1,2021,Receiving,45,0.0017,116,0.0001
lgpMOvnQzy,3376,1,2021,Dribbling,46,-0.0475,40,-0.039
lgpMOvnQzy,3376,1,2021,Fouling,5,0.0107,7,0.0155
lgpMOvnQzy,3376,1,2021,Interrupting,144,0.3685,125,0.6443
lgpMOvnQzy,3376,1,2021,Passing,167,0.43,193,0.3199
lgpMOvnQzy,3376,1,2021,Receiving,86,0.001,91,0.0053
mKAqBBmqbg,3398,1,2021,Dribbling,52,0.0958,45,-0.018
mKAqBBmqbg,3398,1,2021,Fouling,8,0.0306,4,0.0077
mKAqBBmqbg,3398,1,2021,Interrupting,170,0.686,108,0.3775
mKAqBBmqbg,3398,1,2021,Passing,298,0.3568,177,0.4175
mKAqBBmqbg,3398,1,2021,Receiving,171,0.0001,105,0.0024
mvzqoLZQap,3372,1,2021,Dribbling,74,-0.0546,41,0.0367
mvzqoLZQap,3372,1,2021,Fouling,4,0.0092,6,0.014
mvzqoLZQap,3372,1,2021,Interrupting,128,0.3999,122,0.5072
mvzqoLZQap,3372,1,2021,Passing,207,0.4609,194,0.3222
mvzqoLZQap,3372,1,2021,Receiving,136,0.0012,102,0.0104
NWMWlBK5lz,3369,1,2021,Dribbling,57,0.0072,37,-0.0095
NWMWlBK5lz,3369,1,2021,Fouling,6,0.0229,7,0.0173
NWMWlBK5lz,3369,1,2021,Interrupting,139,0.4846,81,0.3215
NWMWlBK5lz,3369,1,2021,Passing,239,0.2901,151,0.1593
NWMWlBK5lz,3369,1,2021,Receiving,140,0.0036,79,0.0027
pzeQZ6xQKw,3370,1,2021,Dribbling,37,0.0129,51,-0.0196
pzeQZ6xQKw,3370,1,2021,Fouling,4,0.0124,5,0.0173
pzeQZ6xQKw,3370,1,2021,Interrupting,75,0.1346,123,0.3449
pzeQZ6xQKw,3370,1,2021,Passing,180,0.165,206,0.4647
pzeQZ6xQKw,3370,1,2021,Receiving,107,0.0012,114,0.0073
Vj58weDM8n,3371,1,2021,Dribbling,38,0.0088,47,-0.0437
Vj58weDM8n,3371,1,2021,Fouling,7,0.0171,10,0.0207
Vj58weDM8n,3371,1,2021,Interrupting,125,0.1895,147,0.3936
Vj58weDM8n,3371,1,2021,Passing,184,0.2938,194,0.3153
Vj58weDM8n,3371,1,2021,Receiving,96,0.0035,105,-0.0004
vzqoOgNqap,3350,1,2021,Dribbling,30,-0.0269,56,-0.0542
vzqoOgNqap,3350,1,2021,Fouling,3,0.0081,6,0.0166
vzqoOgNqap,3350,1,2021,Interrupting,128,0.2079,116,0.0757
vzqoOgNqap,3350,1,2021,Passing,134,0.2725,167,0.3842
vzqoOgNqap,3350,1,2021,Receiving,68,0.0047,94,0.0017
WBLMvYAQxe,3398,1,2021,Dribbling,53,-0.0669,53,0.0407
WBLMvYAQxe,3398,1,2021,Fouling,8,0.02,8,0.0241
WBLMvYAQxe,3398,1,2021,Interrupting,132,0.9212,112,0.1848
WBLMvYAQxe,3398,1,2021,Passing,159,0.1221,161,0.2823
WBLMvYAQxe,3398,1,2021,Receiving,84,0.0133,100,0.0016
X0Oq66zq6D,3368,1,2021,Dribbling,35,-0.0022,37,0.0234
X0Oq66zq6D,3368,1,2021,Fouling,5,0.0133,7,0.0197
X0Oq66zq6D,3368,1,2021,Interrupting,113,0.2746,117,0.5393
X0Oq66zq6D,3368,1,2021,Passing,167,0.2919,173,0.3754
X0Oq66zq6D,3368,1,2021,Receiving,90,0.0004,77,0.0002
YgOMngl5wN,3370,1,2021,Dribbling,31,-0.0243,44,0.056
YgOMngl5wN,3370,1,2021,Fouling,4,0.0096,6,0.0179
YgOMngl5wN,3370,1,2021,Interrupting,100,0.2976,156,0.4133
YgOMngl5wN,3370,1,2021,Passing,121,0.3081,175,0.2517
YgOMngl5wN,3370,1,2021,Receiving,70,-0.0001,89,0.0036
