competition,season_name,team_id
mls,2013,0KPqjA456v
mls,2013,X0Oq66zq6D
mls,2013,mKAqBBmqbg
mls,2013,Z2vQ1xlqrA
mls,2013,4wM42l4qjB
mls,2013,a2lqRX2Mr0
mls,2013,mvzqoLZQap
mls,2013,kRQabn8MKZ
mls,2013,WBLMvYAQxe
mls,2013,9z5k7Yg5A3
mls,2013,YgOMngl5wN
mls,2013,a2lqR4JMr0
mls,2013,19vQ2095K6
mls,2013,EKXMeX3Q64
mls,2013,jYQJ19EqGR
mls,2013,lgpMOvnQzy
mls,2013,kaDQ0wRqEv
mls,2013,pzeQZ6xQKw
mls,2013,APk5LGOMOW
mls,2014,0KPqjA456v
mls,2014,X0Oq66zq6D
mls,2014,mKAqBBmqbg
mls,2014,Z2vQ1xlqrA
mls,2014,4wM42l4qjB
mls,2014,a2lqRX2Mr0
mls,2014,mvzqoLZQap
mls,2014,kRQabn8MKZ
mls,2014,WBLMvYAQxe
mls,2014,9z5k7Yg5A3
mls,2014,YgOMngl5wN
mls,2014,a2lqR4JMr0
mls,2014,19vQ2095K6
mls,2014,EKXMeX3Q64
mls,2014,jYQJ19EqGR
mls,2014,lgpMOvnQzy
mls,2014,kaDQ0wRqEv
mls,2014,pzeQZ6xQKw
mls,2014,APk5LGOMOW
mls,2015,0KPqjA456v
mls,2015,X0Oq66zq6D
mls,2015,mKAqBBmqbg
mls,2015,Z2vQ1xlqrA
mls,2015,a2lqRX2Mr0
mls,2015,mvzqoLZQap
mls,2015,kRQabn8MKZ
mls,2015,WBLMvYAQxe
mls,2015,9z5k7Yg5A3
mls,2015,YgOMngl5wN
mls,2015,a2lqR4JMr0
mls,2015,19vQ2095K6
mls,2015,EKXMeX3Q64
mls,2015,jYQJ19EqGR
mls,2015,lgpMOvnQzy
mls,2015,kaDQ0wRqEv
mls,2015,pzeQZ6xQKw
mls,2015,APk5LGOMOW
mls,2015,Vj58weDM8n
mls,2015,jYQJ8EW5GR
mls,2016,0KPqjA456v
mls,2016,X0Oq66zq6D
mls,2016,mKAqBBmqbg
mls,2016,Z2vQ1xlqrA
mls,2016,a2lqRX2Mr0
mls,2016,mvzqoLZQap
mls,2016,kRQabn8MKZ
mls,2016,WBLMvYAQxe
mls,2016,9z5k7Yg5A3
mls,2016,YgOMngl5wN
mls,2016,a2lqR4JMr0
mls,2016,19vQ2095K6
mls,2016,EKXMeX3Q64
mls,2016,jYQJ19EqGR
mls,2016,lgpMOvnQzy
mls,2016,kaDQ0wRqEv
mls,2016,pzeQZ6xQKw
mls,2016,APk5LGOMOW
mls,2016,Vj58weDM8n
mls,2016,jYQJ8EW5GR
mls,2017,0KPqjA456v
mls,2017,X0Oq66zq6D
mls,2017,mKAqBBmqbg
mls,2017,Z2vQ1xlqrA
mls,2017,a2lqRX2Mr0
mls,2017,mvzqoLZQap
mls,2017,kRQabn8MKZ
mls,2017,WBLMvYAQxe
mls,2017,9z5k7Yg5A3
mls,2017,YgOMngl5wN
mls,2017,a2lqR4JMr0
mls,2017,19vQ2095K6
mls,2017,EKXMeX3Q64
mls,2017,jYQJ19EqGR
mls,2017,lgpMOvnQzy
mls,2017,kaDQ0wRqEv
mls,2017,pzeQZ6xQKw
mls,2017,APk5LGOMOW
mls,2017,Vj58weDM8n
mls,2017,jYQJ8EW5GR
mls,2017,KAqBN0Vqbg
mls,2017,kRQand1MKZ
mls,2018,0KPqjA456v
mls,2018,X0Oq66zq6D
mls,2018,mKAqBBmqbg
mls,2018,Z2vQ1xlqrA
mls,2018,a2lqRX2Mr0
mls,2018,mvzqoLZQap
mls,2018,kRQabn8MKZ
mls,2018,WBLMvYAQxe
mls,2018,9z5k7Yg5A3
mls,2018,YgOMngl5wN
mls,2018,a2lqR4JMr0
mls,2018,19vQ2095K6
mls,2018,EKXMeX3Q64
mls,2018,jYQJ19EqGR
mls,2018,lgpMOvnQzy
mls,2018,kaDQ0wRqEv
mls,2018,pzeQZ6xQKw
mls,2018,APk5LGOMOW
mls,2018,Vj58weDM8n
mls,2018,jYQJ8EW5GR
mls,2018,KAqBN0Vqbg
mls,2018,kRQand1MKZ
mls,2018,eVq3ya6MWO
mls,2019,0KPqjA456v
mls,2019,X0Oq66zq6D
mls,2019,mKAqBBmqbg
mls,2019,Z2vQ1xlqrA
mls,2019,a2lqRX2Mr0
mls,2019,mvzqoLZQap
mls,2019,kRQabn8MKZ
mls,2019,WBLMvYAQxe
mls,2019,9z5k7Yg5A3
mls,2019,YgOMngl5wN
mls,2019,a2lqR4JMr0
mls,2019,19vQ2095K6
mls,2019,EKXMeX3Q64
mls,2019,jYQJ19EqGR
mls,2019,lgpMOvnQzy
mls,2019,kaDQ0wRqEv
mls,2019,pzeQZ6xQKw
mls,2019,APk5LGOMOW
mls,2019,Vj58weDM8n
mls,2019,jYQJ8EW5GR
mls,2019,KAqBN0Vqbg
mls,2019,kRQand1MKZ
mls,2019,eVq3ya6MWO
mls,2019,NWMWlBK5lz
mls,2020,0KPqjA456v
mls,2020,X0Oq66zq6D
mls,2020,mKAqBBmqbg
mls,2020,Z2vQ1xlqrA
mls,2020,a2lqRX2Mr0
mls,2020,mvzqoLZQap
mls,2020,kRQabn8MKZ
