position,season,pct,p96,pSzn
W,2024,0.01,-0.2114889411764706,-0.171209
W,2024,0.02,-0.18901661538461542,-0.08969799999999999
W,2024,0.03,-0.10785917948717948,-0.062983
W,2024,0.04,-0.07002494207999999,-0.053484
W,2024,0.05,-0.06328646597142856,-0.047185000000000005
W,2024,0.060000000000000005,-0.0616203956043956,-0.029343999999999974
W,2024,0.06999999999999999,-0.058389046153846165,-0.010238000000000004
W,2024,0.08,-0.046963200000000004,-0.008068
W,2024,0.09,-0.027825622119815676,-0.005939912695000002
W,2024,0.09999999999999999,-0.01861594838709678,-0.0023395864500000006
W,2024,0.11,0.0005918400000000117,0.0009000000000000051
W,2024,0.12,0.0020332800000000114,0.0009000000000000178
W,2024,0.13,0.012868717241379316,0.007706000000000005
W,2024,0.14,0.01822280459770115,0.013096000000000005
W,2024,0.15000000000000002,0.03156388405797106,0.014564999999999996
W,2024,0.16,0.038275039464882955,0.015047999999999999
W,2024,0.17,0.039329955032415286,0.017327000000000002
W,2024,0.18000000000000002,0.042792482402165925,0.025504000000000096
W,2024,0.19,0.04819869281045752,0.038315999999999996
W,2024,0.2,0.053342310815799175,0.04818000000000001
W,2024,0.21000000000000002,0.05915844552346878,0.05888100000000002
W,2024,0.22,0.05994748717948717,0.065356
W,2024,0.23,0.062224820512820515,0.07245399999999999
W,2024,0.24000000000000002,0.07054978723404258,0.09282400000000007
W,2024,0.25,0.07415280464216634,0.09855000000000001
W,2024,0.26,0.08073739456419869,0.10012399999999999
W,2024,0.27,0.08799608742268043,0.11884000000000002
W,2024,0.28,0.0926592986264657,0.13480800000000004
W,2024,0.29000000000000004,0.0948187254411593,0.137707
W,2024,0.3,0.09676353488372093,0.14060000000000003
W,2024,0.31,0.10049993355481729,0.14852400000000002
W,2024,0.32,0.10564370486656202,0.161028
W,2024,0.33,0.10977936263736265,0.169693
W,2024,0.34,0.11655336263736267,0.18161400000000003
W,2024,0.35000000000000003,0.11731155642023348,0.18478
W,2024,0.36000000000000004,0.12372041025090579,0.1920400000000001
W,2024,0.37,0.12686740350025993,0.195004
W,2024,0.38,0.12936911077124755,0.19795200000000002
W,2024,0.39,0.1334791167048055,0.201319
W,2024,0.4,0.13639654359780046,0.20625999999999997
W,2024,0.41000000000000003,0.13719477454831105,0.212044
W,2024,0.42000000000000004,0.14063396491228075,0.21383200000000005
W,2024,0.43,0.14831771428571433,0.214625
W,2024,0.44,0.15241444033613447,0.21778799999999998
W,2024,0.45,0.15664295798319328,0.24026500000000006
W,2024,0.46,0.163618120123839,0.251476
W,2024,0.47000000000000003,0.17011929824561398,0.2636489999999999
W,2024,0.48000000000000004,0.17223862172284643,0.29114400000000024
W,2024,0.49,0.17715070315140372,0.306199
W,2024,0.5,0.18182158284827835,0.3153
W,2024,0.51,0.18417260473797561,0.3456390000000002
W,2024,0.52,0.18624556075285406,0.382808
W,2024,0.53,0.1885787138948884,0.3952260000000001
W,2024,0.54,0.19173674532071502,0.415582
W,2024,0.55,0.1957464819640653,0.417445
W,2024,0.56,0.2027528953504321,0.4310040000000001
W,2024,0.5700000000000001,0.2031726945004319,0.43803800000000004
W,2024,0.5800000000000001,0.20367635380567903,0.4682500000000003
W,2024,0.59,0.21787118088191176,0.48471099999999995
W,2024,0.6,0.22490674452554743,0.49032000000000003
W,2024,0.61,0.22635946666666662,0.496547
W,2024,0.62,0.22943858823529412,0.5126400000000001
W,2024,0.63,0.23550597590361447,0.5310389999999999
W,2024,0.64,0.24291315662650603,0.540728
W,2024,0.65,0.24705379310344824,0.5648099999999999
W,2024,0.66,0.2508859907210031,0.6272719999999999
W,2024,0.67,0.2528177695297806,0.628364
W,2024,0.68,0.2631070879782904,0.637904
W,2024,0.6900000000000001,0.2646632386198683,0.6438609999999999
W,2024,0.7000000000000001,0.26783626376681247,0.6920699999999997
W,2024,0.7100000000000001,0.2701242460945034,0.7196420000000002
W,2024,0.72,0.27291720625465377,0.7416119999999999
W,2024,0.73,0.27607978740467015,0.7584460000000001
W,2024,0.74,0.2785215204968944,0.7755780000000002
W,2024,0.75,0.28352198757763974,0.807675
W,2024,0.76,0.2932159895390651,0.8184919999999999
W,2024,0.77,0.2941447218045113,0.8586860000000003
W,2024,0.78,0.30020956390977444,0.9040040000000003
W,2024,0.79,0.3022461210653753,0.905712
W,2024,0.8,0.311749251318891,0.9250799999999999
W,2024,0.81,0.3165380464195086,0.9307519999999999
W,2024,0.8200000000000001,0.32059347318849374,0.9460419999999997
W,2024,0.8300000000000001,0.3231519309107297,0.957638
W,2024,0.8400000000000001,0.32409118403956005,0.9722080000000003
W,2024,0.85,0.3294784300822561,0.9998999999999998
W,2024,0.86,0.34028341687979546,1.022988
W,2024,0.87,0.34483649673202615,1.0319200000000002
W,2024,0.88,0.34662068335529206,1.062384
W,2024,0.89,0.3622754009661835,1.069027
W,2024,0.9,0.3826301976284587,1.1020400000000004
W,2024,0.91,0.42771141818181835,1.113557
W,2024,0.92,0.4544090790697674,1.140744
W,2024,0.93,0.4702389767441862,1.1947000000000005
W,2024,0.9400000000000001,0.5388545040650398,1.2368539999999997
W,2024,0.9500000000000001,0.6414197782705102,1.2698250000000002
W,2024,0.9600000000000001,0.7254669874868093,1.3075640000000006
W,2024,0.97,0.7732511496571197,1.4048119999999988
W,2024,0.98,0.8409758406827859,1.6082039999999995
W,2024,0.99,1.1292141996370249,1.6980660000000016
W,2024,1.0,1.471006896551724,2.1689
CM,2024,0.01,-0.2587604210526316,-0.27245
CM,2024,0.02,-0.14301853457172342,-0.18870000000000003
