position,season,pct,p96,pSzn
CB,2017,0.01,-0.262677768707483,-0.15516000000000002
CB,2017,0.02,-0.03274187755102041,-0.036688
CB,2017,0.03,-0.016773044334975378,-0.022792000000000014
CB,2017,0.04,-0.006835855186751737,-0.012508
CB,2017,0.05,0.008240210143463326,0.01632
CB,2017,0.060000000000000005,0.01685997910426971,0.029620000000000018
CB,2017,0.06999999999999999,0.02301217391304347,0.052643999999999996
CB,2017,0.08,0.0336770728241563,0.06911600000000001
CB,2017,0.09,0.05404299322051994,0.12226800000000002
CB,2017,0.09999999999999999,0.05917253157642242,0.16386
CB,2017,0.11,0.06387566310042707,0.17574
CB,2017,0.12,0.06778834600126757,0.183804
CB,2017,0.13,0.07237467811311576,0.19712800000000005
CB,2017,0.14,0.07770651107964836,0.2369240000000001
CB,2017,0.15000000000000002,0.08185046272422544,0.24978
CB,2017,0.16,0.08315120050565457,0.28078
CB,2017,0.17,0.08450325027781207,0.306084
CB,2017,0.18000000000000002,0.08702721278721279,0.34032400000000024
CB,2017,0.19,0.08831428054298643,0.36762000000000006
CB,2017,0.2,0.09120512758315062,0.4730400000000001
CB,2017,0.21000000000000002,0.09324574469637638,0.5233000000000001
CB,2017,0.22,0.09590970769637662,0.5689160000000001
CB,2017,0.23,0.09711637735849057,0.631356
CB,2017,0.24000000000000002,0.10139850833754424,0.6552320000000003
CB,2017,0.25,0.10300000000000001,0.6785000000000001
CB,2017,0.26,0.10398697334639556,0.7517600000000001
CB,2017,0.27,0.10414837513334436,0.7871720000000001
CB,2017,0.28,0.10530113929507012,0.7988
CB,2017,0.29000000000000004,0.10962148697624756,0.834168
CB,2017,0.3,0.11055833534104148,0.8732804954
CB,2017,0.31,0.11149303257010182,0.9597481486200001
CB,2017,0.32,0.11184797222873816,1.027404
CB,2017,0.33,0.11268374442711677,1.0746959999999999
CB,2017,0.34,0.1135566648049563,1.1169
CB,2017,0.35000000000000003,0.1146852071553192,1.154
CB,2017,0.36000000000000004,0.11590086263010721,1.1797920000000002
CB,2017,0.37,0.11665270469324326,1.218932
CB,2017,0.38,0.11785998672728772,1.2670480000000002
CB,2017,0.39,0.11921382756169392,1.346292
CB,2017,0.4,0.1203132381023858,1.38346
CB,2017,0.41000000000000003,0.12077005261036118,1.411792
CB,2017,0.42000000000000004,0.12425998607046515,1.448508000000001
CB,2017,0.43,0.12481413212669683,1.5914320000000002
CB,2017,0.44,0.12824591961411969,1.6263239999999999
CB,2017,0.45,0.12954164805089133,1.6537000000000004
CB,2017,0.46,0.13013445842665672,1.675664
CB,2017,0.47000000000000003,0.13217714010737172,1.69552
CB,2017,0.48000000000000004,0.134667427345519,1.7701600000000002
CB,2017,0.49,0.1372006203875743,1.791428
CB,2017,0.5,0.13786877338877337,1.8735
CB,2017,0.51,0.1401540281652805,1.9123560000000004
CB,2017,0.52,0.14195080970433127,1.9579560000000003
CB,2017,0.53,0.14283284514588548,2.012672
CB,2017,0.54,0.14417185020804438,2.054408
CB,2017,0.55,0.14537383111929184,2.1157600000000003
CB,2017,0.56,0.14717585623874294,2.1253480000000002
CB,2017,0.5700000000000001,0.1480923822251218,2.2089400000000015
CB,2017,0.5800000000000001,0.14920242008602413,2.3003
CB,2017,0.59,0.1498255501559076,2.3517319999999993
CB,2017,0.6,0.15061201057438114,2.44542
CB,2017,0.61,0.15250254095523536,2.478412
CB,2017,0.62,0.1532257691497882,2.487164
CB,2017,0.63,0.15489578179873426,2.5454120000000002
CB,2017,0.64,0.15572459894304166,2.5876639999999997
CB,2017,0.65,0.15576515375843206,2.61308
CB,2017,0.66,0.15626837268760765,2.65296
CB,2017,0.67,0.15892923865884423,2.724912
CB,2017,0.68,0.15935463973863975,2.7828079999999997
CB,2017,0.6900000000000001,0.16157780629616633,2.8343
CB,2017,0.7000000000000001,0.16212316009669323,2.8978399999999995
CB,2017,0.7100000000000001,0.16279122339699842,2.931720000000002
CB,2017,0.72,0.16371224621641883,3.0008
CB,2017,0.73,0.1666514749971195,3.030588
CB,2017,0.74,0.1704297063383196,3.06156
CB,2017,0.75,0.175356,3.0927000000000002
CB,2017,0.76,0.17922606534670826,3.134528
CB,2017,0.77,0.1822845974859915,3.2110000000000007
CB,2017,0.78,0.18410786473295884,3.26388
CB,2017,0.79,0.18532968941907285,3.303864
CB,2017,0.8,0.1876381192205696,3.3533000000000004
CB,2017,0.81,0.18907874058513274,3.4441320000000006
CB,2017,0.8200000000000001,0.1935260021253985,3.523052
CB,2017,0.8300000000000001,0.19441777777777777,3.6259919999999983
CB,2017,0.8400000000000001,0.19685701248470017,3.663416000000001
CB,2017,0.85,0.19861670558649183,3.7150399999999997
CB,2017,0.86,0.20024099575957613,3.8847440000000004
CB,2017,0.87,0.20345906988180149,4.230371999999999
CB,2017,0.88,0.2059939954429125,4.3052600000000005
CB,2017,0.89,0.20976090522543903,4.407056
CB,2017,0.9,0.21374683356098445,4.538460000000001
CB,2017,0.91,0.22094193050193053,4.680304000000001
CB,2017,0.92,0.22875459463878192,4.91812
CB,2017,0.93,0.25992894329432986,4.964116000000001
CB,2017,0.9400000000000001,0.27389312891986073,5.168076
CB,2017,0.9500000000000001,0.2859984450183499,5.31056
CB,2017,0.9600000000000001,0.2956694055636905,5.487124000000003
CB,2017,0.97,0.32099173060029285,5.601103999999999
CB,2017,0.98,0.3312305632653059,5.791103999999998
CB,2017,0.99,0.39614933946536446,6.186368000000002
CB,2017,1.0,0.6274909090909092,6.2926
CB,2018,0.01,-0.14766477533039649,-0.300054
