season_name,team_id,general_position,total_avg,p96_avg,p96_weighted_avg,total_avg_rank,p96_avg_rank,p96_weighted_avg_rank
2013,0KPqjA456v,CB,1.1328799999999999,0.11044310258169934,0.08927637497947791,19.0,9.0,18.0
2013,0KPqjA456v,CM,4.79165,0.16049337875210395,0.15966622700451233,2.0,10.0,11.0
2013,0KPqjA456v,FB,1.6363000000000003,0.11691731853637162,0.10885987525987527,15.0,12.0,16.0
2013,0KPqjA456v,GK,2.6281499999999998,0.3080549627791563,0.15198939759036145,7.0,2.0,7.0
2013,0KPqjA456v,ST,3.21545,0.2188486611378003,0.2526393670713409,10.0,13.0,9.0
2013,0KPqjA456v,W,1.6988249999999998,0.16036436174418078,0.19560683658170913,15.0,13.0,13.0
2013,19vQ2095K6,CB,2.8232999999999997,0.11364932563785261,0.11473266544377028,3.0,8.0,11.0
2013,19vQ2095K6,CM,3.26864,0.13490638024779747,0.18521392987840868,6.0,16.0,5.0
2013,19vQ2095K6,DM,2.0416,0.15510543409072886,0.12776636245110823,5.0,8.0,9.0
2013,19vQ2095K6,FB,1.84028,0.10778079007303346,0.12285596662030598,11.0,15.0,13.0
2013,19vQ2095K6,GK,0.15125,0.03451461915658713,0.008177978034356527,13.0,12.0,13.0
2013,19vQ2095K6,ST,2.7183666666666664,0.2037350877462374,0.2080493223491895,13.0,15.0,15.0
2013,19vQ2095K6,W,1.8991166666666668,0.16753274010589178,0.1920792273924495,14.0,12.0,14.0
2013,4wM42l4qjB,CB,1.6529666666666667,0.1061607698233703,0.11335978092630077,13.0,11.0,12.0
2013,4wM42l4qjB,CM,1.0922571428571428,0.12279414534099128,0.12559835728952767,17.0,17.0,17.0
2013,4wM42l4qjB,DM,1.8546,0.12086394699194339,0.14237632946821271,7.0,10.0,8.0
2013,4wM42l4qjB,FB,1.47748,0.11805564849826382,0.10740427078600637,16.0,11.0,17.0
2013,4wM42l4qjB,GK,-1.5565666666666667,-0.13378484961607506,-0.13564030257186083,18.0,18.0,19.0
2013,4wM42l4qjB,ST,1.4517666666666669,0.15698098140674474,0.1575391107761869,17.0,17.0,19.0
2013,4wM42l4qjB,W,1.4415,0.19398796838615137,0.1687609756097561,16.0,9.0,17.0
2013,9z5k7Yg5A3,CB,3.3544333333333327,0.14431617943158845,0.15128042593172564,2.0,2.0,1.0
2013,9z5k7Yg5A3,CM,1.99072,0.15822731101501036,0.1472562182154415,13.0,12.0,13.0
2013,9z5k7Yg5A3,DM,0.3661,0.3862153846153846,0.3862153846153846,11.0,1.0,1.0
2013,9z5k7Yg5A3,FB,2.859875,0.13197268450072475,0.1525902459358066,5.0,6.0,3.0
2013,9z5k7Yg5A3,GK,4.3132,0.12456895306859206,0.12456895306859206,3.0,9.0,9.0
2013,9z5k7Yg5A3,ST,3.0521857142857143,0.2673448993709609,0.24804314911113798,11.0,7.0,10.0
2013,9z5k7Yg5A3,W,3.4798333333333336,0.1783876706614771,0.2098391959798995,6.0,11.0,11.0
2013,APk5LGOMOW,CB,1.5562249999999997,0.09512534593951077,0.10396492693110647,14.0,14.0,13.0
2013,APk5LGOMOW,CM,3.0324999999999998,0.18193691858036667,0.1866752164155178,8.0,6.0,4.0
2013,APk5LGOMOW,DM,5.181,0.18455510204081632,0.18455510204081632,1.0,4.0,3.0
2013,APk5LGOMOW,FB,2.21856,0.11203319149209663,0.13558808250572957,10.0,14.0,8.0
2013,APk5LGOMOW,GK,-1.34505,0.43641825365100906,-0.0754233644859813,16.0,1.0,16.0
